Company,Date,Link,Text,Flesch_Ease,Gunning_Fog,A_01_score,A_01_reasoning,A_02_score,A_02_reasoning,B_01_score,B_01_reasoning,B_02_score,B_02_reasoning,B_03_score,B_03_reasoning,C_01_score,C_01_reasoning,C_02_score,C_02_reasoning,C_03_score,C_03_reasoning,C_04_score,C_04_reasoning,C_05_score,C_05_reasoning,C_06_score,C_06_reasoning,D_01_score,D_01_reasoning,Word_Count,Avg_A,Avg_B,Avg_C,Avg_D,Average_Main_Crit,Weighted_Main_Crit,Weighted_Subcrit,Average_Subcrit
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_internationalyogaday-wellnessatwork-employeewellbeing-activity-7342823913841688576-_owi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Today, our team came together to embrace the spirit of balance, mindfulness, and well-being through a rejuvenating yoga session at the workplace.

From ""Surya Namaskar"" to ""Deep Breathing"", our employees took a mindful pause from their busy routines to prioritize health — both physical and mental.

At Safari, we believe wellness is not just a practice, but a culture. A huge thank you to everyone who participated and brought such positive energy to the day! 🌿✨

Here’s to staying healthy, centered, and connected — on and off the mat. #InternationalYogaDay #WellnessAtWork #EmployeeWellbeing #HealthyWorkplace #YogaForLife #Safari #Safaribags #UrbanJungle #SafariSelect #luggage #Backpack #BornToTravel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_design-tour-mumbai-activity-7323941240046010368-J9yn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Empowering Creativity through Collaboration!
It was energizing to see such enthusiastic participation, diverse perspectives, and creative approach come together in one space.

A big shoutout to Nazuk Keshan for turning this workshop into a masterclass in design thinking.

Kudos to Parul University for fostering such a passionate and creative student Community!!

#designtour #designworkshop #industrialvisit #Safaribags #Safari #UrbanJungle #SafariSelect #luggage #Backpack #BornToTravel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6892756437462872064-OkPH?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries celebrated the 73rd Republic Day across all manufacturing facilities

#pageians #pageindustries #pil #jockey #jockeyindia #speedo #speedoindia #73rdrepublicday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-jockey-activity-6906540481568735232-Ah5M?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Happy Women’s Day!
We thank our 22000+ women employees who are the backbone of our organisation.

#pageindustries #pil #jockey #speedo #jockeyindia #speedoindia #womensday2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6938380827089068032-l4eJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"We are Hiring!

To Apply, visit https://lnkd.in/gVNJ7Q5 for more details.

#pageians #pageindustries #pil #jockey #speedo #jockeyindia #speedoindia #workwithus #openpositions #vacancyjob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pil-pageindustries-activity-6940254376099753985-4pPc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Importance of Ergonomics in the Workplace

Not only does ergonomics increase comfort; it increases productivity and decreases stress. 

#pageians #pil #pageindustries #jockey #speedo #jockeyindia #speedoindia #productivity #managingstress #ergonomics #ergonomicsolutions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Company Limited,2022-01-31T10:55:29.432Z,https://www.linkedin.com/posts/titan-industries_titancompany-lifeattitan-activity-6893869326902947840-AxHL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"It's the last day of the month. And a Monday on top of that. How are you staying motivated today? Here are some ways to lift your spirits and set the tone for a great week ahead.

#TitanCompany #LifeAtTitan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Company Limited,2022-03-30T10:03:24.075Z,https://www.linkedin.com/posts/titan-industries_leadersinfocus-lifeattitan-titancompany-activity-6914874714410688512-4GlZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"This month in #LeadersInFocus, we’ve got Sumant Sood - Head of Innovation, Titan Company Limited, talking about the things that make him tick and sharing tips for youngsters to stay ahead of the game.
#LifeAtTitan #TitanCompany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Company Limited,2022-09-11T04:37:34.797Z,https://www.linkedin.com/posts/titan-industries_titan-go-green-launch-in-pantnagar-activity-6974586716619759616-oSH8?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Here's some sneak peak from our Titan Go Green launch in Pantnagar, Uttarakhand.

Vehicle courtesy : Tata Passenger Electric Mobility Limited


#TitanGoGreen #GoGreen #RunForSustainability #Marathoners #GoGreenRun #LifeAtTitan #VirtualRun #PlantATree #GoGreenMovement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Company Limited,2022-10-18T08:58:44.495Z,https://www.linkedin.com/posts/titan-industries_family-activity-6988060791123951616-kIIw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Second film in the Tanishq Jewellery’s series of festive films, ‘Pehli Diwali’ staying true to its narrative captures the essence of Pehli diwali with our new Family. The film breaks into the life of a Lieutenant in The Indian Air Force celebrating her first Diwali away from home with her new Air Force family. Through the film, Tanishq celebrates the growth stories the Indian woman is crafting for herself. 

#NayiShururat Ki #PehliDiwali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
