Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CAP,CAPln,OPM,BOARD,LEV,WORDSln,CONTR,GAP,RDBL,ESG Combined score,ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Workforce Score,CSR Strategy Score,Community Score,LinkedIn URL,POSTS,WORDS,WORDS_per_post,SENTENCES_per_post,POSTSln,Cat_ESG_posts,Cat_E_posts,Cat_S_posts,Cat_G_posts,Cat_N_posts,Resource_Use_posts,Emissions_posts,Innovation_posts,Workforce_posts,Human_Rights_posts,Community_posts,Product_Responsibility_posts,Management_posts,Shareholders_posts,CSR_Strategy_posts,Cat_ESG_words,Cat_E_words,Cat_S_words,Cat_G_words,Cat_N_words,Resource_Use_words,Emissions_words,Innovation_words,Workforce_words,Human_Rights_words,Community_words,Product_Responsibility_words,Management_words,Shareholders_words,CSR_Strategy_words,Gunning_Fog,A_01_score,A_02_score,B_01_score,B_02_score,B_03_score,C_01_score,C_02_score,C_04_score,C_05_score,C_06_score,D_01_score,L_01_score,Crit_A,Crit_B,Crit_C,Crit_D,Crit_L,Gunning_Fog_ESG,A_01_score_ESG,A_02_score_ESG,B_01_score_ESG,B_02_score_ESG,B_03_score_ESG,C_01_score_ESG,C_02_score_ESG,C_04_score_ESG,C_05_score_ESG,C_06_score_ESG,D_01_score_ESG,L_01_score_ESG,Crit_A_ESG,Crit_B_ESG,Crit_C_ESG,Crit_D_ESG,Crit_L_ESG,RDBL_ESG,Gunning_Fog_E,A_01_score_E,A_02_score_E,B_01_score_E,B_02_score_E,B_03_score_E,C_01_score_E,C_02_score_E,C_04_score_E,C_05_score_E,C_06_score_E,D_01_score_E,L_01_score_E,Crit_A_E,Crit_B_E,Crit_C_E,Crit_D_E,Crit_L_E,RDBL_E,Gunning_Fog_S,A_01_score_S,A_02_score_S,B_01_score_S,B_02_score_S,B_03_score_S,C_01_score_S,C_02_score_S,C_04_score_S,C_05_score_S,C_06_score_S,D_01_score_S,L_01_score_S,Crit_A_S,Crit_B_S,Crit_C_S,Crit_D_S,Crit_L_S,RDBL_S,Gunning_Fog_G,A_01_score_G,A_02_score_G,B_01_score_G,B_02_score_G,B_03_score_G,C_01_score_G,C_02_score_G,C_04_score_G,C_05_score_G,C_06_score_G,D_01_score_G,L_01_score_G,Crit_A_G,Crit_B_G,Crit_C_G,Crit_D_G,Crit_L_G,RDBL_G,Gunning_Fog_N,A_01_score_N,A_02_score_N,B_01_score_N,B_02_score_N,B_03_score_N,C_01_score_N,C_02_score_N,C_04_score_N,C_05_score_N,C_06_score_N,D_01_score_N,L_01_score_N,Crit_A_N,Crit_B_N,Crit_C_N,Crit_D_N,Crit_L_N,RDBL_N,ESG Weighted Score_posts,ESG Weighted Score_words,ESG Score_z,ESG Weighted Score_posts_z,ESG Weighted Score_words_z
383220.KS,F&F Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,"1,553,213,808.51",21.16,0.2386916,0.5,0.2289126,9.041211409,0,-0.441410526,3.371922348,55.03790269,100,55.03790269,96.58,28.8,66.16,39.59,58.33,38.25,12.97,81.79,7.25,59.5,97.26,94.81,67.99,https://www.linkedin.com/company/fnf-corp,32,8444,263.875,14.15625,3.465735903,0.34375,0.21875,0.1875,0.09375,0.65625,0.125,0.03125,0.15625,0.09375,0,0.03125,0.09375,0.03125,0.03125,0.09375,0.420890573,0.270369493,0.260184747,0.113571767,0.579109427,0.179180483,0.056608243,0.167811464,0.113927049,0,0.056608243,0.146257698,0.056608243,0.056608243,0.113571767,12.01868254,3.3125,3.21875,2.75,3.366666667,3.0625,4.72,3.923076923,3.71875,3.46875,3.4375,3.75,2.3125,3.265625,3.041666667,3.740104167,3.75,2.3125,13.82212207,3,3.090909091,2.545454545,3.363636364,3,4.625,3.777777778,3.545454545,3.454545455,3.454545455,3.545454545,2.181818182,3.045454545,2.96969697,3.598484848,3.545454545,2.181818182,3.229614325,12.80869565,2.857142857,3,2.428571429,3.285714286,2.857142857,4.5,3.6,3.428571429,3.428571429,3.285714286,3.571428571,2.285714286,2.928571429,2.857142857,3.397619048,3.571428571,2.285714286,3.110822511,14.34722784,2.666666667,3.166666667,2.666666667,3.666666667,3,4.4,3.6,3.666666667,3.666666667,3.666666667,3.666666667,2.166666667,2.916666667,3.111111111,3.688888889,3.666666667,2.166666667,3.288888889,13.41854217,3.666666667,3,2.666666667,3.333333333,3.333333333,4.666666667,4,3.666666667,3.666666667,3.666666667,3.666666667,2,3.333333333,3.111111111,3.933333333,3.666666667,2,3.444444444,11.07402374,3.476190476,3.285714286,2.857142857,3.368421053,3.095238095,4.764705882,4,3.80952381,3.476190476,3.428571429,3.857142857,2.380952381,3.380952381,3.079365079,3.814285714,3.857142857,2.380952381,3.446464646,29.3403125,37.86494434,0.024926638,-0.524126309,-0.416483888
600398.SS,HLA Group Corp Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,"3,537,743,978.26",21.99,0.12134,0.2727,0.1756946,8.41294317,0,-1.179234688,3.225531174,43.24525161,100,43.24525161,9.63,28.8,25.54,18.01,4.81,2.45,36.39,33.64,41.04,24.71,30.79,61.29,30.79,https://www.linkedin.com/company/hla-malaysia,66,4505,68.25757576,6.333333333,4.189654742,0.106060606,0,0.106060606,0.015151515,0.893939394,0,0,0,0.03030303,0,0.045454545,0.03030303,0.015151515,0,0,0.113873474,0,0.113873474,0.036403996,0.886126526,0,0,0,0.040399556,0,0.044173141,0.029300777,0.036403996,0,0,12.23179218,4.24137931,3.74137931,2.189655172,3,2.827586207,4.8125,3.575757576,3.824561404,2.982758621,3.120689655,3.827586207,1.879310345,3.99137931,2.545977011,3.383333333,3.827586207,1.879310345,15.42616099,4.166666667,3.5,2.166666667,2,2.833333333,,3,3.5,2.666666667,3.166666667,3.666666667,2,3.833333333,2.527777778,3.069444444,3.666666667,2,3.046296296,,,,,,,,,,,,,,,,,,,,15.42616099,4.166666667,3.5,2.166666667,2,2.833333333,,3,3.5,2.666666667,3.166666667,3.666666667,2,3.833333333,2.527777778,3.069444444,3.666666667,2,3.046296296,19.17880647,4,3,3,,3,,,5,4,4,5,3,3.5,3,4.333333333,5,3,3.777777778,11.86321116,4.25,3.769230769,2.192307692,3.166666667,2.826923077,4.8125,3.612903226,3.862745098,3.019230769,3.115384615,3.846153846,1.865384615,4.009615385,2.548076923,3.419551282,3.846153846,1.865384615,3.246212121,2.893636364,3.469449501,-0.611691969,-1.667295181,-1.790926657
603225.SS,Xinfengming Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,"3,612,146,247.07",22.01,0.0263811,0.375,1.5716387,7.930206207,0,0.959890084,3.702020202,30.53707619,100,30.53707619,27.64,28.8,24.37,52.41,0,52.41,26.58,17.59,74.52,13.05,18.6,19.25,6.4,https://www.linkedin.com/company/xinfengming,25,2780,111.2,4.96,3.218875825,0.84,0.72,0.24,0.24,0.16,0.32,0.16,0.68,0.16,0,0.04,0.08,0.04,0,0.2,0.898201439,0.752158273,0.240647482,0.350359712,0.101798561,0.344964029,0.234172662,0.721582734,0.16294964,0,0.069064748,0.077697842,0.051798561,0,0.298561151,18.87730383,4.583333333,4.125,2.666666667,3.166666667,3.75,4.5,4.157894737,3.875,3.291666667,3.708333333,3.791666667,3.291666667,4.354166667,3.194444444,3.796527778,3.791666667,3.291666667,18.99515324,4.571428571,4.095238095,2.666666667,3.19047619,3.761904762,4.466666667,4.3125,3.904761905,3.333333333,3.714285714,3.80952381,3.285714286,4.333333333,3.206349206,3.831746032,3.80952381,3.285714286,3.716450216,19.2725993,4.555555556,4.111111111,2.555555556,3.166666667,3.722222222,4.5,4.307692308,3.833333333,3.277777778,3.722222222,3.777777778,3.166666667,4.333333333,3.148148148,3.792592593,3.777777778,3.166666667,3.673821549,17.20007303,4.5,4,2.666666667,3.166666667,4,4.6,4.333333333,3.833333333,3.166666667,3.666666667,3.5,3.333333333,4.25,3.277777778,3.866666667,3.5,3.333333333,3.70959596,20.94195342,4.333333333,4,2.666666667,3.166666667,3.5,4.75,4.75,4,3.5,3.666666667,4.166666667,2.833333333,4.166666667,3.111111111,3.944444445,4.166666667,2.833333333,3.694444444,18.05235796,4.666666667,4.333333333,2.666666667,3,3.666666667,5,3.333333333,3.666666667,3,3.666666667,3.666666667,3.333333333,4.5,3.111111111,3.55,3.666666667,3.333333333,3.601010101,33.2568,39.83289928,-1.297734562,-0.354834464,-0.337844478
7936.T,Asics Corp,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,"15,013,792,127.55",23.43,0.1475419,0.5833,0.4991743,9.828602355,0,-0.293826336,3.897143567,68.41216111,100,68.41216111,75.47,28.8,64.24,53.48,86.54,68.38,75.95,91.67,9.57,73.75,55.18,44.88,78.96,https://www.linkedin.com/company/asics,129,18557,143.8527132,8.720930233,4.859812404,0.573643411,0.139534884,0.449612403,0.217054264,0.426356589,0.07751938,0.023255814,0.108527132,0.108527132,0,0.302325581,0.069767442,0.100775194,0.015503876,0.124031008,0.621759983,0.163873471,0.470873525,0.268739559,0.378240017,0.091447971,0.025165706,0.134288948,0.12060139,0,0.289378671,0.099046182,0.149108153,0.015304198,0.129223474,12.9183698,4.344262295,4.163934426,3.098360656,3.423423423,3.803278689,4.517241379,3.935185185,4.016393443,3.639344262,3.836065574,4.040983607,4.180327869,4.254098361,3.43852459,3.917759563,4.040983607,4.180327869,13.37731922,4.361111111,4.166666667,3.236111111,3.449275362,3.902777778,4.607142857,4,4.097222222,3.763888889,3.930555556,4.138888889,4.069444444,4.263888889,3.530092593,4.017361111,4.138888889,4.069444444,3.9565867,14.09270642,4.055555556,4.111111111,3.277777778,3.444444444,3.833333333,4.846153846,4.2,4.222222222,3.611111111,3.722222222,4.111111111,4.222222222,4.083333333,3.518518518,4.023148148,4.111111111,4.222222222,3.934259259,13.28272922,4.357142857,4.196428571,3.25,3.481481481,3.910714286,4.6,4.019607843,4.142857143,3.785714286,3.946428571,4.142857143,4.142857143,4.276785714,3.550595238,4.038392857,4.142857143,4.142857143,3.97913961,13.43425587,4.428571429,4.178571429,3.25,3.384615385,3.964285714,4.52173913,3.923076923,4,3.785714286,3.857142857,4.142857143,4.035714286,4.303571429,3.535714286,3.979761905,4.142857143,4.035714286,3.946915584,12.25748264,4.32,4.16,2.9,3.380952381,3.66,4.35483871,3.833333333,3.9,3.46,3.7,3.9,4.34,4.24,3.306666667,3.774333333,3.9,4.34,3.811545455,53.73069767,59.62634585,0.746927289,0.530158508,0.453100953
9904.TW,Pou Chen Corp,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,"2,414,254,573.72",21.6,0.0604744,0.3333,0.3332657,9.89045297,0,-0.340913023,3.259182158,71.75140592,100,71.75140592,89.75,28.8,61.18,65.2,86.54,85.31,68.67,73.15,1.32,78.88,78.96,60.53,80.79,https://www.linkedin.com/company/pouchengroupindonesia,119,19741,165.8907563,10.7394958,4.779123493,0.680672269,0.016806723,0.680672269,0.050420168,0.319327731,0.008403361,0,0.008403361,0.663865546,0,0.008403361,0.025210084,0.025210084,0,0.025210084,0.72488729,0.022947166,0.72488729,0.067119194,0.27511271,0.012208095,0,0.010739071,0.702699965,0,0.010637759,0.032977053,0.038549212,0,0.028569981,10.75079722,3.899159664,3.420168067,2.647058824,3.264367816,2.848739496,4.9,3.423076923,3.581196581,3.521008403,3.319327731,4.100840336,1.773109244,3.659663866,2.865546218,3.493137255,4.100840336,1.773109244,11.58870847,3.839506173,3.358024691,2.617283951,3.290322581,2.777777778,5,3.321428571,3.50617284,3.50617284,3.333333333,4,1.765432099,3.598765432,2.83127572,3.454938272,4,1.765432099,3.209683252,12.24365415,4,3,3,3.5,3,,,4,4,4,5,2,3.5,3.166666667,4,5,2,3.55,11.58870847,3.839506173,3.358024691,2.617283951,3.290322581,2.777777778,5,3.321428571,3.50617284,3.50617284,3.333333333,4,1.765432099,3.598765432,2.83127572,3.454938272,4,1.765432099,3.209683252,13.80866355,3.333333333,3,2.833333333,3.833333333,2.833333333,5,4,3.833333333,3.833333333,3.666666667,4.666666667,1.666666667,3.166666667,3.166666666,3.916666667,4.666666667,1.666666667,3.442929293,8.964723226,4.026315789,3.552631579,2.710526316,3.2,3,4.8,3.541666667,3.75,3.552631579,3.289473684,4.315789474,1.789473684,3.789473684,2.938596491,3.574561404,4.315789474,1.789473684,3.364692983,58.00705882,62.95918849,0.927194251,0.715006045,0.586281228
ADSGn.DE,Adidas AG,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Europe,2025,"30,429,000,000.00",24.14,0.0556095,0.6364,0.9522754,10.2561846,1,-1.038023714,3.422192944,52.42279552,21.42857143,83.41701961,61.8,80,77.46,83.56,86.54,87.45,68.67,86.11,94,85.06,94.21,48.46,91.46,https://www.linkedin.com/company/adidas,222,28458,128.1891892,6.396396396,5.402677382,0.545045045,0.099099099,0.459459459,0.09009009,0.454954955,0.022522523,0.004504505,0.09009009,0.261261261,0.013513514,0.211711712,0.04954955,0.022522523,0,0.072072072,0.598109495,0.120071685,0.505868297,0.107034929,0.401890505,0.024738211,0.004919531,0.109354136,0.283892051,0.015391103,0.2393703,0.065675733,0.026038372,0,0.084123972,14.03228581,4.101449275,3.700483092,2.714975845,3.187134503,3.154589372,4.682539683,3.802631579,3.797101449,3.38647343,3.376811594,3.714975845,2.130434783,3.900966184,3.008856683,3.673027375,3.714975845,2.130434783,14.57307287,4.096491228,3.728070175,2.763157895,3.204081633,3.201754386,4.588235294,3.725274725,3.780701754,3.394736842,3.421052632,3.701754386,2.157894737,3.912280702,3.049707602,3.656871345,3.701754386,2.157894737,3.427387914,15.3432082,4.05,3.65,2.95,3.1,3.2,4.545454545,3.866666667,3.65,3.4,3.35,3.65,2.35,3.85,3.083333333,3.594166667,3.65,2.35,3.410833333,14.5773638,4.12371134,3.731958763,2.773195876,3.231707317,3.237113402,4.576271186,3.717948718,3.824742268,3.412371134,3.463917526,3.773195876,2.144329897,3.927835052,3.075601375,3.682302405,3.773195876,2.144329897,3.452337811,14.48176,4.05,3.8,2.75,3.210526316,3.2,4.7,3.214285714,3.55,3.35,3.4,3.45,2.1,3.925,3.033333333,3.504166667,3.45,2.1,3.33280303,13.36938554,4.107526882,3.666666667,2.655913978,3.164383562,3.096774194,4.793103448,3.918032787,3.817204301,3.376344086,3.322580645,3.731182796,2.096774194,3.887096774,2.958781362,3.692831541,3.731182796,2.096774194,3.415824916,54.28576577,61.27374868,1.556954827,0.554151564,0.518931113
AKSA.IS,Aksa Akrilik Kimya Sanayii AS,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,"756,293,405.35",20.44,0.0887861,0.3333,0.2696603,9.081711229,0,0.015050253,3.786794777,77.91295965,100,77.91295965,82.92,80,78.93,73.44,58.33,87.68,96.84,75,43.31,79.19,86.89,47.43,75.91,https://www.linkedin.com/company/aksa,109,8793,80.66972477,5.211009174,4.691347882,0.660550459,0.183486239,0.412844037,0.302752294,0.339449541,0.064220183,0.018348624,0.155963303,0.19266055,0.018348624,0.155963303,0.091743119,0.04587156,0.036697248,0.23853211,0.737291027,0.23234391,0.432275674,0.376094621,0.262708973,0.080859775,0.033890595,0.207551461,0.203798476,0.019788468,0.151142955,0.124644604,0.047310361,0.067894916,0.287956329,14.14744978,3.719512195,3.756097561,2.841463415,3.34,3.682926829,4.791666667,4.517241379,4,3.524390244,3.829268293,3.93902439,4.048780488,3.737804878,3.286585366,3.990650407,3.93902439,4.048780488,14.56343563,3.677419355,3.725806452,2.838709677,3.358974359,3.693548387,4.818181818,4.487804878,3.903225806,3.516129032,3.806451613,3.903225806,4.129032258,3.701612903,3.295698925,3.938172043,3.903225806,4.129032258,3.762821766,16.1729191,3.6875,3.9375,2.875,3.5,3.75,4.7,4.166666667,4.125,3.625,3.875,4.125,4,3.8125,3.364583333,3.995833333,4.125,4,3.826199495,14.46503276,3.65,3.7,2.775,3.227272727,3.675,4.941176471,4.52,3.8,3.525,3.75,3.85,4,3.675,3.25,3.8875,3.85,4,3.711780303,14.10508883,3.766666667,3.6,2.733333333,3.333333333,3.566666667,4.8,4.421052632,3.7,3.433333333,3.7,3.633333333,4.066666667,3.683333333,3.177777778,3.823888889,3.633333333,4.066666667,3.656902357,12.85789365,3.85,3.85,2.85,3.272727273,3.65,4.733333333,4.588235294,4.3,3.55,3.9,4.05,3.8,3.85,3.258333333,4.153333333,4.05,3.8,3.861111111,69.40981651,80.19120437,1.259821726,1.207895117,1.274871979
ALPA4.SA,Alpargatas SA,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,"1,185,412,194.25",20.89,0.016941,0,0.399686,9.836278803,0,0.815703643,3.443394375,60.91150893,100,60.91150893,41.3,28.8,52.52,48.71,67.95,47.5,59.49,84.26,41.79,70.14,70.43,65.15,88.11,https://www.linkedin.com/company/alpargatas,142,18700,131.6901408,6.971830986,4.955827058,0.774647887,0.197183099,0.577464789,0.35915493,0.225352113,0.126760563,0.014084507,0.154929577,0.429577465,0.021126761,0.225352113,0.049295775,0.084507042,0.014084507,0.295774648,0.817807487,0.246203209,0.63486631,0.406470588,0.182192513,0.180588235,0.016684492,0.201283422,0.468395722,0.02315508,0.268609626,0.070641711,0.081871658,0.010481283,0.357647059,17.29949571,4.057553957,3.863309353,2.690647482,3.00990099,3.316546763,4.353658537,3.80952381,3.683453237,3.395683453,3.438848921,3.633093525,2.489208633,3.960431655,3.01558753,3.63764988,3.633093525,2.489208633,17.52801567,4.064814815,3.842592593,2.694444444,3.012987013,3.305555556,4.272727273,3.747126437,3.694444444,3.407407407,3.462962963,3.694444444,2.453703704,3.953703704,3.007716049,3.635339506,3.694444444,2.453703704,3.443256641,18.74199638,3.964285714,3.857142857,2.642857143,2.96,3.214285714,4,3.571428571,3.607142857,3.464285714,3.321428571,3.642857143,2.321428571,3.910714286,2.94047619,3.533333333,3.642857143,2.321428571,3.35450938,17.39869576,4.075,3.825,2.7375,3.074074074,3.3,4.294117647,3.746268657,3.75,3.475,3.5375,3.775,2.4625,3.95,3.029166667,3.686041667,3.775,2.4625,3.479356061,18.54057487,4,3.901960784,2.803921569,3.023255814,3.431372549,4.411764706,3.818181818,3.725490196,3.470588235,3.529411765,3.764705882,2.490196078,3.950980392,3.107843137,3.708823529,3.764705882,2.490196078,3.502089523,16.50336168,4.032258065,3.935483871,2.677419355,3,3.35483871,4.6875,4.111111111,3.64516129,3.35483871,3.35483871,3.419354839,2.612903226,3.983870968,3.043010753,3.645698925,3.419354839,2.612903226,3.443874226,68.35387324,77.25929786,0.342009455,1.162251518,1.157713097
BCU.MI,Brunello Cucinelli SpA,Textiles & Apparel,Apparel & Accessories,Luxury Clothing,Europe,2025,"6,707,371,603.47",22.63,0.1652987,0.4286,1.9013113,8.508555998,1,-0.126860573,3.658838384,40.44519831,52.38095238,40.44519831,57.45,0,43.89,21.29,41.67,16.14,12.97,78.09,50.79,49.92,61.28,2.82,97.26,https://www.linkedin.com/company/brunello-cucinelli-s-p-a-,23,4957,215.5217391,7.434782609,3.135494216,0.47826087,0.043478261,0.434782609,0.130434783,0.52173913,0,0,0.043478261,0.260869565,0,0.173913043,0,0.043478261,0,0.086956522,0.463990317,0.026629009,0.401250757,0.226548316,0.536009683,0,0,0.026629009,0.201129716,0,0.200121041,0,0.10248134,0,0.124066976,18.58862497,4.090909091,3.909090909,2.727272727,3,2.909090909,5,4.411764706,3.590909091,3.363636364,3.136363636,3.590909091,4.954545455,4,2.878787879,3.693181818,3.590909091,4.954545455,21.18993571,4.3,4,2.8,3.111111111,3.3,5,4.125,3.9,3.5,3.3,4.1,5,4.15,3.066666667,3.748333333,4.1,5,3.803787879,21.46909091,4,4,3,3,3,,3,4,4,3,4,5,4,3,3.5,4,5,3.636363636,21.59446291,4.333333333,4,2.666666667,3.125,3.333333333,5,4,3.888888889,3.444444444,3.222222222,4,5,4.166666667,3.037037037,3.675925926,4,5,3.763468013,20.92314609,3.666666667,3.666666667,2.666666667,3,2.333333333,5,5,3.666666667,3.666666667,3,4.333333333,5,3.666666667,2.666666666,4,4.333333333,5,3.712121212,16.42086602,3.916666667,3.833333333,2.666666667,2.888888889,2.583333333,5,4.666666667,3.333333333,3.25,3,3.166666667,4.916666667,3.875,2.722222222,3.647222222,3.166666667,4.916666667,3.538047138,26.38956522,26.02239863,-0.762851027,-0.65167362,-0.8897116
BIRK.N,Birkenstock Holding PLC,Textiles & Apparel,Footwear,Footwear (NEC),Europe,2025,"6,404,250,150.34",22.58,0.2637987,0.4286,0.4809239,9.010180657,0,0.408137392,4.071885522,32.1146191,100,32.1146191,1.25,29.6,14.55,7.11,86.45,4.17,52.52,9.01,6.94,51.55,13.27,22.06,53.7,https://www.linkedin.com/company/birkenstock-deutschland,49,8186,167.0612245,8.306122449,3.891820298,0.489795918,0.285714286,0.448979592,0.020408163,0.510204082,0.244897959,0.020408163,0.102040816,0,0,0.183673469,0.326530612,0.020408163,0,0,0.494869289,0.292084046,0.460908869,0.020645004,0.505130711,0.248228683,0.02296604,0.109577327,0,0,0.178475446,0.339115563,0.020645004,0,0,15.45698916,4.229166667,4.083333333,3.208333333,3.487804878,3.833333333,4.815789474,4.405405405,4.333333333,3.833333333,3.9375,4.520833333,4.395833333,4.15625,3.503472222,4.207986111,4.520833333,4.395833333,15.27963968,4.208333333,4.041666667,3.166666667,3.4,3.875,4.80952381,4.473684211,4.333333333,3.875,3.958333333,4.5,4.25,4.125,3.479166667,4.25625,4.5,4.25,4.063720539,15.41213017,4.071428571,4,3.142857143,3.6,3.857142857,4.833333333,4.555555556,4.428571429,3.857142857,3.928571429,4.714285714,4.071428571,4.035714286,3.511904762,4.271428571,4.714285714,4.071428571,4.068650794,15.08613301,4.227272727,4.045454545,3.181818182,3.368421053,3.863636364,4.8,4.444444444,4.272727273,3.863636364,3.954545455,4.454545455,4.363636364,4.136363636,3.46969697,4.234090909,4.454545455,4.363636364,4.060835629,15.8334015,4,4,3,3,4,5,5,4,4,4,4,2,4,3.333333333,4.4,4,2,3.833333333,15.63433864,4.25,4.125,3.25,3.571428571,3.791666667,4.823529412,4.333333333,4.333333333,3.791666667,3.916666667,4.541666667,4.541666667,4.1875,3.527777778,4.159722222,4.541666667,4.541666667,4.080050505,27.44714286,28.15646103,-1.212571933,-0.605959375,-0.804434541
BOSSn.DE,Hugo Boss AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"2,544,960,000.00",21.66,0.0837687,0.8333,0.8607693,8.693831965,0,-1.205847822,3.578419613,84.4636839,100,84.4636839,58.7,80,81.42,80.9,86.54,78.73,85.13,99.07,80.55,86.73,80.79,92.28,98.48,https://www.linkedin.com/company/hugo-boss,54,5966,110.4814815,6.074074074,3.988984047,0.5,0.092592593,0.314814815,0.203703704,0.5,0,0,0.092592593,0.185185185,0,0.092592593,0.037037037,0.037037037,0.092592593,0.111111111,0.562018103,0.091015756,0.304056319,0.305397251,0.437981897,0,0,0.091015756,0.181361046,0,0.092189071,0.030506202,0.050787798,0.165772712,0.139624539,15.4133634,4.145833333,4.020833333,2.645833333,3.2,3.25,4.62962963,3.871794872,3.770833333,3.291666667,3.375,3.458333333,3.895833333,4.083333333,2.982638889,3.627430556,3.458333333,3.895833333,15.44742352,4.076923077,4,2.5,3.2,3.346153846,4.615384615,3.666666667,3.653846154,3.307692308,3.384615385,3.461538462,3.769230769,4.038461538,2.961538462,3.530769231,3.461538462,3.769230769,3.518104118,16.26652432,4.2,4,2.4,3,3.2,5,4.5,3.2,3.2,3,3.2,4.4,4.1,2.866666667,3.333333333,3.2,4.4,3.456666667,15.08353969,4.0625,4,2.375,3.166666667,3.375,4.5,3.2,3.5625,3.25,3.375,3.4375,3.5625,4.03125,2.895833333,3.380208333,3.4375,3.5625,3.422222222,16.38923604,4,3.909090909,2.909090909,3.444444444,3.454545455,4.444444444,4.111111111,4,3.545454545,3.727272727,3.545454545,3.636363636,3.954545455,3.242424242,3.909090909,3.545454545,3.636363636,3.706887052,15.37311053,4.227272727,4.045454545,2.818181818,3.2,3.136363636,4.642857143,4.047619048,3.909090909,3.272727273,3.363636364,3.454545455,4.045454545,4.136363636,3.007575758,3.741666667,3.454545455,4.045454545,3.649701561,51.32240741,58.48794502,1.613458318,0.426059133,0.407610496
CALN.S,Calida Holding AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"97,444,254.62",18.39,0.0183084,0.7143,0.3998934,7.430707083,0,-0.226958418,3.627020202,52.56206048,100,52.56206048,51.86,80,70.3,35.65,58.33,16.83,53.16,73.77,90.98,54.17,50.91,46.8,53.96,https://www.linkedin.com/company/calida-group,13,1687,129.7692308,7.230769231,2.564949357,0.538461538,0,0.307692308,0.307692308,0.461538462,0,0,0,0.076923077,0,0.153846154,0.153846154,0.230769231,0.153846154,0.076923077,0.663900415,0,0.501481921,0.356846473,0.336099585,0,0,0,0.194427979,0,0.342027267,0.159454653,0.162418494,0.133372851,0.194427979,15.20859564,4.083333333,3.666666667,2.666666667,3,3.5,4.875,4.454545455,3.833333333,3.166666667,3.75,3.666666667,3.25,3.875,3.055555555,3.890277778,3.666666667,3.25,16.24030769,4,3.285714286,2.857142857,3,3.428571429,5,4.333333333,4,3.285714286,3.857142857,3.714285714,2.857142857,3.642857143,3.095238095,3.926190476,3.714285714,2.857142857,3.580952381,,,,,,,,,,,,,,,,,,,,16.63303846,3.75,2.75,3,3,3,5,4.5,4.25,3.5,3.75,3.75,2,3.25,2.958333333,4.1125,3.75,2,3.4875,15.65756536,3.75,3.5,2.75,3,3.75,5,4.333333333,4,3.25,4,3.25,3.25,3.625,3.208333333,3.908333333,3.25,3.25,3.591666667,13.76419877,4.2,4.2,2.4,3,3.6,4.75,4.6,3.6,3,3.6,3.6,3.8,4.2,3,3.84,3.6,3.8,3.691515152,27.63692308,39.8868524,-0.108730095,-0.597756044,-0.335688513
