,Unnamed: 0.1,Unnamed: 0,Company Name,Year,Date,Text,URL,sentence_count,Gunning_Fog,A_01_score,A_02_score,B_01_score,B_02_score,B_03_score,C_01_score,C_02_score,C_04_score,C_05_score,C_06_score,D_01_score,L_01_score,word_count,Crit_A,Crit_B,Crit_C,Crit_D,Crit_L,AverageRDBL
10,10,10,Xinfengming Group Co Ltd,2026,2026-05-05T07:10:13.322Z,"Celebrating 9 years of growth and resilience at XinFengMing Group.
On April 18, 2026, our team came together for the “Together for Nine, Striding Forward” endurance walk—led by Chairman Zhuang Yaozhong and Chairman Zhuang Kuilong. With 10 teams and 100 colleagues across departments and bases, every step reflected our shared commitment, teamwork, and determination.
Nine years mark not just a milestone, but a new starting point. Rooted in strength, reaching higher, and advancing sustainably, we move forward with unity and purpose—toward building a stronger future for the chemical fiber industry.",https://www.linkedin.com/posts/xinfengming_celebrating-9-years-of-growth-and-resilience-activity-7457325767237181440-v486?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD1GJl0Bd2OMgzMnzzUGKpde7w8Qc2Fer4s,5,13.422222222222224,5,5,3,3.0,4,5.0,5.0,4,4,4,5,5,90,5.0,3.333333333333333,4.4,5.0,5.0,4.333333333333333
11,11,11,Coats Group PLC,2026,2026-04-24T13:27:46.754Z,"Day 3 at Texprocess 2026, and the momentum kept building ⚡

On the main stage, Coats Digital's Managing Director, Himanshu Mehrotra, led the session “GSDQuest - Garment Costing in seconds with AI,” exploring how AI is transforming garment costing, with thoughtful discussion from an audience interested in smarter, faster decision-making.

Coats Digital is helping drive this shift through advanced solutions that bring greater accuracy, speed and insight to manufacturers and brands.

Visit us at our booth to see how we’re supporting the industry’s digital evolution.

📍 Hall 8.0 | Stand F76 | Messe Frankfurt
📅 21–24 April

Let’s shape the future of fashion together.",https://www.linkedin.com/posts/coats_texprocess2026-digitaltransformation-smartmanufacturing-activity-7453434516095922176-n4Nk?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,5,17.555102040816326,4,4,3,3.0,3,5.0,5.0,4,3,4,4,3,104,4.0,3.0,4.2,4.0,3.0,3.75
12,12,12,Adidas AG,2025,2025-11-11T09:27:35.413Z,"‘Café 3 Stripes’: New community hub in Seoul ☕💬 

We opened a café right in the heart of Seongu’s trendiest streets for our 3-Stripes community to connect, engage, and be inspired in a space that seamlessly blends sport, fashion, and café culture.  

Celebrating the grand opening in style, we made waves with a bold fashion show – exclusive insights in the gallery below. 📸👇  
Shout-out to Jay Park, Hong-chul Noh, Euddeum Sim, and Ja-cheol Gu for joining us for this special moment!  

💪🍿🎵 We’ll be offering morning raves, mini sports classes, a cinema club, and live music for our local community.  

📆 Open only until January 18th, 2026 – stop by when in Seoul!  

📍 Café 3 Stripes Seoul, 1F, 9 Seongsui-ro 7ga-gil, Seongdong-gu, Seoul",https://www.linkedin.com/posts/adidas_caf%C3%A9-3-stripes-new-community-hub-in-seoul-activity-7393942460592410624-jEdK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD2I9Z8B375LXs5HhGiec5aEp0Oo3zrqv98,5,12.273446327683615,5,4,4,4.0,4,5.0,5.0,5,4,5,5,3,125,4.5,4.0,4.8,5.0,3.0,4.416666666666667
13,13,13,Lakeland Industries Inc,2025,2025-09-15T18:58:04.197Z,"We’re proud to share that Lakeland Fire + Safety has been selected to provide advanced decontamination and protective gear care for the Hong Kong Fire Services Department—one of the largest emergency response organizations in Asia.
 
This partnership reflects who we are, a global manufacturer committed to protecting your people. For more than 20 years, our teams in Australia and Hong Kong have supported firefighters with innovative gear and care programs that extend the life of their gear and, most importantly, safeguard their health. Today, we’re honored to expand that support to more than 14,500 firefighters through comprehensive maintenance and decontamination services.
 
This milestone strengthens our global role in fire safety and renews our promise to protect those who protect us all.
 
Read full press release here: https://ow.ly/1rZI50WX8v5",https://www.linkedin.com/posts/lakeland-fire-and-safety_were-proud-to-share-that-lakeland-fire-activity-7373429918178746368-_dYQ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAC068VkBV9XY3vJkG9xYvL4BarqCBKeMpgc,6,15.384126984126985,4,4,3,4.0,4,4.0,,4,4,4,3,5,127,4.0,3.6666666666666665,4.0,3.0,5.0,3.909090909090909
14,14,14,Nilorngruppen AB,2025,2025-10-28T15:43:23.478Z,"Introducing Hügel ⛷️  – the final concept of this year’s Autumn collection.
Inspired by European alpine heritage, Hügel combines nostalgic outdoor charm with a commitment to responsible sourcing. Circular shapes, vibrant colour contrasts, and tactile finishes bring a sense of playful nostalgia, while the use of certified and bluesign® APPROVED materials reflects the deeper commitment.",https://www.linkedin.com/posts/nilorn_trims-labels-morefitforthefuture-activity-7388963603913199616-zKqg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,3,17.632704402515724,5,5,3,3.0,3,,3.0,3,4,4,4,3,55,5.0,3.0,3.5,4.0,3.0,3.636363636363636
15,15,15,Hugo Boss AG,2025,2025-09-26T09:00:15.763Z,"Step into the BOSS Paradox, where bold contrasts redefine the rules of fashion.  

BOSS unveiled a bold Spring/Summer 26 collection at Milan Fashion Week yesterday, celebrating the harmony of opposites with versatile looks that redefine creativity and individuality.  

The runway cast featured Anok Yai, Ashley Graham, model and recent BOSS campaign star Amelia Grey, with BOSS brand ambassador and globally acclaimed K-pop superstar S.COUPS closing the show. VIP guests including brand ambassadors David Beckham, Aaron Pierre, Ishaan Khatter, and Khaby Lame brought star power to the front row. 

The show took place in the historic Fonderia Macchi, an industrial space transformed into a breathtaking stage of raw textures and the fluid elegance of contemporary art, centered around a stunning installation by Dutch artist Boris Acket. 

Learn more about the Spring/Summer 26 collection: on.hugoboss.com/SU26",https://www.linkedin.com/posts/hugo-boss_beyourownboss-activity-7377265741584154626-43Jy?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwKdxQBULMj_xLnkYanIIS_uO8YRpRybDA,8,15.419548872180451,4,4,2,,2,5.0,3.0,4,3,3,3,5,133,4.0,2.0,3.6,3.0,5.0,3.4545454545454546
16,16,16,Magnera Corp,2026,2026-03-26T13:30:18.146Z,"Mark your calendars! INDEX Nonwovens™26 is just around the corner 📅 

Join us at Stand #2127 to explore our broad portfolio of material solutions engineered for performance, reliability, and new potential across the nonwovens industry. 

We’ll also be showcasing our latest advancement, Next‑Gen Liquid Barrier Technology, an INDEX™ Award–nominated innovation designed to deliver high levels of protection, comfort, and compliance while opening new possibilities for our customers.

This is our biggest industry event of the year, and we’re excited to connect, collaborate, and help shape the future of nonwoven materials.

Want to meet with us at INDEX™26?
Contact: info@magnera.com or visit: https://lnkd.in/enF_Hwj3",https://www.linkedin.com/posts/magneracorporation_mark-your-calendars-index-nonwovens26-is-activity-7442925902977581056-FdYP?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,7,18.21848184818482,4,4,3,3.0,3,1.0,3.0,3,3,3,4,3,102,4.0,3.0,2.6,4.0,3.0,3.083333333333333
17,17,17,Magnera Corp,2026,2026-03-10T12:14:07.381Z,"This month, Magnera teams across the globe are recognizing the women who shape our culture, drive innovation, and strengthen our operations each day.
 
At Charlotte Headquarters, we celebrated with a morning of connection, sharing breakfast and participating in a bouquet‑making activity that reflected the strength, creativity, and individuality our women bring to every part of the business.
 
Today and every day, we appreciate the contributions and the impact Magnera women make across the entire company. Catch a glimpse of the celebration in our morning recap video below 💜 📷",https://www.linkedin.com/posts/magneracorporation_internationalwomensday-womenatmagnera-oursuccessisconnected-activity-7437108525950128128-zRNh?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,3,17.435632183908048,4,4,3,,4,,3.0,4,4,4,4,2,89,4.0,3.5,3.75,4.0,2.0,3.6
18,18,18,Salvatore Ferragamo SpA,2025,2025-07-22T12:19:37.701Z,"A #FerragamoMoment with Jong-Suk Lee at the Seoul Flagship renewal opening — celebrating Ferragamo’s heritage reimagined in a modern space. Featuring the full-category collection, the renewed Flagship brings the brand’s timeless values to life. #FerragamoFW25 look by Maximilian Davis.",https://www.linkedin.com/posts/salvatore-ferragamo_ferragamomoment-ferragamofw25-activity-7353398314458873858-Pseb?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEgJJw8BefmW2ngPsTOBI09zfDAq2oK3oSU,3,16.645614035087718,5,5,1,,3,,3.0,3,3,3,3,5,39,5.0,2.0,3.0,3.0,5.0,3.4
19,19,19,Aquafil SpA,2025,2025-06-04T14:56:39.384Z,"Aquafil is excited to join the design community at the #ChicagoDesignWeek2025 shows, June 9-11! Visit us at NeoCon and Fulton Market Design Days to explore our activations featuring ECONYL® brand regenerated nylon:

✨ A NeoCon workshop with Pantone and Ultrafabrics on Monday, June 9 at The Mart
✨ An inspiring exhibit of Parsons School of Design - The New School textile student works using ECONYL® that visualizes global migration data from the United Nations IOM - UN Migration at the Design Days Beaudega
✨ Live weaving demonstrations by The Ruggist, Michael Christie in the Aquafil showroom (11-107) at NeoCon. 

Join us as we celebrate innovation and bold design: https://lnkd.in/dCG_M4NR",https://www.linkedin.com/posts/aquafil-spa_chicagodesignweek2025-neocon2025-designdays2025-activity-7336043214312804352-jvHo?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADiJs-oB2gBSCUa5sYiLsU7cQUIjgxMRpLE,3,19.63589743589744,5,4,3,,4,5.0,5.0,5,4,4,4,3,109,4.5,3.5,4.6,4.0,3.0,4.181818181818182
20,20,20,Christian Dior SE,2025,2025-09-12T16:00:19.141Z,"At #Dior, passion is at the heart of our creations.
The new Dior Magazine is here: Issue No. 51 invites readers into the world of the House’s latest designs, spotlighting the Dior Autumn-Winter 2025 collection through a series of striking visuals enhanced by the creative artistry of Dior Beauty. Vivid surrealism and a spirit of possibility course through the editorials, affirming the House’s boundless creativity on every page.

Photography by Daniel Archer, Chantal Elisabeth Ariëns, Elina Kechicheva, and Sarah Paintadosi.

Find more https://lnkd.in/eB5cwzQy",https://www.linkedin.com/posts/christian-dior-couture_dior-dreamindior-activity-7372298022094815235-4cfw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADutyfIBNJBCHOdkrHWz4jsLK00pw1OjKrE,6,11.798393574297188,5,4,3,4.0,4,5.0,5.0,4,3,3,3,5,83,4.5,3.6666666666666665,4.0,3.0,5.0,4.0
21,21,21,Suominen Oyj,2025,2025-10-22T09:30:33.972Z,"Suominen will publish its Q3 result on Wednesday, October 29, 2025. President & CEO Charles Héaulmé and CFO Janne Silonsaari will present the result in English in an audiocast and a conference call for analysts, investors, and media on the same day at 11:00 a.m. (EET). 
https://brnw.ch/21wWPys",https://www.linkedin.com/posts/suominen-corporation_publishing-of-suominens-interim-report-januaryseptember-activity-7386695452211093504-G3sK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAChuQRMBdHkIwKp5VAh3LX4A3zkCuYtgrK0,5,15.286956521739132,5,5,3,,5,5.0,5.0,5,4,5,4,5,47,5.0,4.0,4.8,4.0,5.0,4.636363636363637
22,22,22,Magnera Corp,2026,2026-05-05T16:41:07.906Z,"It's not too late to LAUNCH your career this summer 🚀

Applications for the 2026 Magnera LAUNCH Internship Program are still open! If you are ready to gain hands-on experience, solve challenges, and grow with purpose, now is the time to apply.

Apply today: https://lnkd.in/eKN4Twai

#MagneraLAUNCH #Internships

*At this time, we are accepting internship applications from candidates located in the United States",https://www.linkedin.com/posts/magneracorporation_magneralaunch-internships-activity-7457469441375686656-sJ0i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,3,14.624590163934426,5,4,3,,4,,3.0,4,3,4,3,3,62,4.5,3.5,3.5,3.0,3.0,3.6
23,23,23,Birkenstock Holding PLC,2025,2025-07-09T15:45:01.218Z,"BIRKENSTOCK opens combined office and showroom space in Cologne. 

As BIRKENSTOCK continues to grow, we also grow into new spaces that support collaboration, reflect our identity, and offer a premium experience for partners and customers. 

Yesterday our EMEA team has officially opened a new combined office and showroom in Cologne, just above our existing location in the Rheinauhafen district. The space is designed to meet the needs of a growing team while providing an environment that is both functional and true to our brand. 
Natural materials and a calm, clear aesthetic create an atmosphere that supports focus, connection, and creativity. 

It is a place where product, people, and purpose come together in a meaningful way. The new showroom and office space will be the central base for the DACH region, providing a shared environment for collaboration and brand presence in our biggest European market. 

If you happen to be in Cologne, come by and say hello – the coffee’s on us.",https://www.linkedin.com/posts/birkenstock-deutschland_birkenstock-opens-combined-office-and-showroom-activity-7348738960782712835-o8LF?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAB2fJisB56UEMFOKW-93gvW_UdpQs2L7xx0,8,13.75,4,4,2,,3,,4.0,4,3,3,4,5,161,4.0,2.5,3.5,4.0,5.0,3.6
24,24,24,Marimekko Oyj,2025,2025-05-13T08:23:15.677Z,"The Marimekko Marimini dress - this is where it began.
 
Marimekko Marimini springs from a rich history of dress shapes and prints that drum home Marimekko’s philosophy. Since 1951, we’ve championed a joyful way of life, designing clothes, homeware and accessories that help you look, move and feel your most positive. Decades later, the Marimini is still going strong—still iconic.
 
🌸 Read the full story of this enduring icon on Marimekko Journal: https://lnkd.in/d-R55Uvz
 
Images from the Arkkitehtuuri- ja designmuseo archives.",https://www.linkedin.com/posts/marimekko_marimekko-marimini-paradeofflowers-activity-7327971680146927617-_gAj?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAE4W700Ba2ZH3TT3WFNdtt_cuNQs1kG3prE,6,11.866666666666667,4,4,2,,3,,3.0,4,3,3,3,3,80,4.0,2.5,3.25,3.0,3.0,3.2
25,25,25,Asics Corp,2025,2025-06-23T13:15:02.526Z,"With all eyes on Osaka this year, we’ve transformed our main Osaka store into an immersive experience designed to move body and mind. 

DISCOVER. by ASICS assigns you a personalized activity program based on your lifestyle. Convert your body movement into sound. Enjoy full-body exercise guided by color. Immerse yourself in 360-degree projections to play games and make art with your body.

The experience lasts 15 mins 9 secs – the time it takes for movement to have an uplifting effect on the mind and body, according to our own research.

For a limited time until October, visitors to the ASICS GRAND FRONT OSAKA store can experience not just our products, but the entire worldview of our brand 🥏",https://www.linkedin.com/posts/asics_soundmindsoundbody-activity-7342903011683258368-7jPU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEXpFdUBS5-iZR-rF_tjQwSjFEwsLb9mgyQ,7,12.155799755799755,5,4,3,3.0,4,3.0,4.0,4,4,4,4,3,119,4.5,3.333333333333333,3.8,4.0,3.0,3.75
26,26,26,Zhejiang Semir Garment Co Ltd,2026,2026-02-14T02:00:01.065Z,"💕 When Valentine’s sweetness meets Lunar New Year luck, let SHAMA fly you into a bright and joyful new chapter in its little red plane! ✈️ 

Want real festive vibes? Start with a touch of lucky red!

SEMIR’s new IP “SHAMA” makes its cheerful debut
with SEMIR’s ""HONG: Oriental Fortune Collection""

Wear prosperity and joy this season, and fill your moments with festive cheer.",https://www.linkedin.com/posts/semir-international_semir-reimagineeverydaywear-shama-activity-7428256672525074432-sI9y?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD83cM8BveTBQe8d728MIe5rgAE_6phyUq0,4,8.780645161290323,4,3,1,3.0,1,,3.0,3,3,2,3,1,64,3.5,1.6666666666666667,2.75,3.0,1.0,2.4545454545454546
27,27,27,Nilorngruppen AB,2025,2025-06-05T13:31:46.424Z,"We’re pleased to announce that Nilörn is returning to the Future Fabrics Expo for the second time, joining the 2025 edition in London on June 24-25!

The Future Fabrics Expo has become the leading platform for sourcing and knowledge-sharing in textile and material innovation. We look forward to being part of this collaborative platform that addresses industry challenges and drives positive change across the fashion and textile sectors.

Visit us at booth Q5C to explore our vision for the next generation of trims, labels, and packaging. Our Material and Innovation Specialist Christina Heines will be there to showcase how we integrate preferred materials into branding products tailored for textile and fashion brands.

Book your ticket here to join us in London: https://lnkd.in/dD4MpGq",https://www.linkedin.com/posts/nilorn_futurefabricsexpo-trims-labels-activity-7336384240755904513-MxLA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,6,14.362841530054643,5,5,3,4.0,4,5.0,5.0,5,4,4,5,5,122,5.0,3.6666666666666665,4.6,5.0,5.0,4.5
28,28,28,Prada SpA,2025,2025-11-21T13:15:12.704Z,"On National Tree Day, #PradaGroup and Forestami invite you to recognize the trees that make up the urban forest of the Metropolitan City of Milan. Scroll through the cards and learn how to identify five species you’ve probably already encountered in your daily life. Recognizing trees is the first step to taking care of them - this theme was explored in the latest edition of #ForestamiAcademy. 
Discover more here: https://lnkd.in/d4p-pssG",https://www.linkedin.com/posts/pradagroup_national-tree-day-2025prada-group-and-forestamipdf-activity-7397623622078636033-zo-m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADQgDVgBzp5mkMMKB9kMuPVTpdBNoCdpw-o,4,12.117391304347828,4,4,2,3.0,3,,3.0,4,3,3,2,5,70,4.0,2.6666666666666665,3.25,2.0,5.0,3.272727272727273
29,29,29,Gildan Activewear Inc,2026,2026-03-03T13:00:27.161Z,"For the 14th year in a row, Gildan is included in the S&P Global Sustainability Yearbook as a Member in the Textiles, Apparel & Luxury Goods industry. We’re proud of this longstanding recognition that reflects our efforts to operate responsibly across our business.

Read more: https://lnkd.in/edi8Y52b",https://www.linkedin.com/posts/gildan_spgsustainable1yearbook-sustainableyearbook2026-activity-7434583470133182470-HHbt?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,3,14.0,5,5,1,3.0,3,5.0,5.0,4,3,3,3,5,46,5.0,2.333333333333333,4.0,3.0,5.0,3.75
